Context,Utterance,Label
"i think we could import the old comment via rsync , but from there we need to go via email . i think it be easier than cach the status on each bug and than import bite here and there __eou__ __eot__ it would be veri easi to keep a hash db of message-id __eou__ sound good __eou__ __eot__ ok __eou__ perhap we can ship an ad-hoc apt_preferec __eou__ __eot__ version ? __eou__ __eot__ thank __eou__ __eot__ not yet __eou__ it be cover by your insur ? __eou__ __eot__ yes __eou__ but it 's realli not the right time : / __eou__ with a chang hous upcom in 3 week __eou__ __eot__ you will be move into your hous soon ? __eou__ post a messag recent which explain what to do if the autoconfigur doe not do what you expect __eou__ __eot__ how urgent be # 896 ? __eou__ __eot__ not particular urgent , but a polici violat __eou__ __eot__ i agre that we should kill the -novtswitch __eou__ __eot__ ok __eou__ __eot__ would you consid a packag split a featur ? __eou__ __eot__ context ? __eou__ __eot__ split xfonts* out of xfree86* . one upload for the rest of the life and that 's it __eou__ __eot__ split the sourc packag you mean ? __eou__ __eot__ yes . same binari packag . __eou__ __eot__ i would prefer to avoid it at this stage . this be someth that have go into xsf svn , i assum ? __eou__ __eot__",basic each xfree86 upload will not forc user to upgrad 100mb of font for noth __eou__ no someth i do in my spare time . __eou__,1
"i 'm not suggest all - onli the one you modifi . __eou__ __eot__ ok , it sound like you re agre with me , then __eou__ though rather than `` the one we modifi '' , my idea be `` the one we need to merg '' __eou__ __eot__",sorri __eou__ i think it be ubuntu relat . __eou__,0
"afternoon all __eou__ not entir relat to warti , but if grub-instal take 5 minut to instal , be this a sign that i should just retri the instal : ) __eou__ __eot__ here __eou__ __eot__ you might want to know that thinic in warti be buggi compar to that in sid __eou__ __eot__ and appar gnome be suddent almost perfect ( out of the thinic problem ) , nobodi report bug : -p __eou__ i do n't get your question , where do you want to past ? __eou__ __eot__ can i file the panel not link to ed ? : ) __eou__ __eot__ be you use alt ? or the window key ? __eou__ wait for the gnome-them , compon will be ad __eou__ __eot__ i just restart x and now nautilus wo n't show the desktop : ( __eou__ hal be n't start : ( __eou__ __eot__ do you think we have ani interest to have hal support turn on in gnome-vf at this point ? it increas the sourc of problem for no real benefit imho ... __eou__ __eot__ be it a know bug that g-s-t doe n't know what distribut it run on ? __eou__ be there ani chang to desktop-file-util you ve get hide away ? __eou__ __eot__ somebodi should realli kick that guy *hard* __eou__ i ve ad a build-dep on libxt-dev in warti for zeniti __eou__ __eot__ ars . xt-dev ? i ad libx11-dev __eou__ so just libxt-dev or libxt and libx11 ? __eou__ for futur note , the xmodmap line in that x sticky-sup fix the problem for me __eou__ __eot__","yep . __eou__ oh , okay . i wonder what happen to you __eou__ what distro do you need ? __eou__ yes __eou__",0
"interest __eou__ grub-instal work with / be ext3 , fail when it be xfs __eou__ i think d-i instal the relev kernel for your machin . i have a p4 and it instal the 386 kernel __eou__ holi crap a lot of stuff get instal by default : ) __eou__ you be instal vim on a box of mine __eou__ ; ) __eou__ __eot__ more like osx than debian ; ) __eou__ we have a select of python modul avail for great justic ( and python develop ) __eou__ __eot__ 2.8 be fix them iirc __eou__ __eot__ pong __eou__ vino will be in __eou__ enjoy ubuntu ? __eou__ __eot__ tell me to come here __eou__ suggest thursday as a good day to come __eou__ __eot__ we freeze version a while back : ) __eou__ you come today or thursday ? __eou__ we re consid shift it __eou__ yay __eou__ enjoy ubuntu ? __eou__ usplash ! __eou__ __eot__",that the one __eou__,1
"and becaus python give mark a woodi __eou__ __eot__ i 'm not sure if we re mean to talk about that public yet . __eou__ __eot__ and i think we be a `` pant off '' kind of compani ... : p __eou__ you need new glass __eou__ __eot__ mono 1.0 ? dude , that 's go to be a barrel of laugh for total non-releas relat reason dure hoari __eou__ read bryan clark 's entri about networkmanag ? __eou__ __eot__ there be an accompani irc convers to that one < g > __eou__ explain ? __eou__ i guess you could ship the new png in the debian/ directori and copi them over in your rule __eou__ __eot__ but debian/ be also part of diff.gz ... __eou__ you can fix this for the common peopl , dude ! multipl tarbal in sourc ! __eou__ __eot__ notwarti , hth , hand , kthxbye < g > __eou__ everyon els have their mac steal , so ca n't realli comment __eou__ that pictur of you be a classic __eou__ __eot__ which ? __eou__ the best featur of the new imac be that the old imac be go to be cheaper ! __eou__ ooh , can you add that to the wiki ? __eou__ __eot__ k. __eou__ you get two-weeks-to-releas edgi ? __eou__ http : //descent.netsplit.com/~scott/kids.mp3 -- but for releas __eou__ i play with an x300 about the time i buy my new laptop , it do n't feel solid at all __eou__ __eot__ which seri be your again ? __eou__ nc8000 ? __eou__ mmm __eou__ __eot__ you have my sympathi __eou__ i 'm tri to *find* the definit i write __eou__ __eot__ it 'd be on glossari __eou__ i know i write one there __eou__ __eot__ i 'm tri to find the one with mdz 's l33t dot mad __eou__ that would be a pretti good look for you : p __eou__ bandwidth bill ? __eou__ __eot__ i 'm revert the wifi chang ; i do n't think the bar be the right thing , but they re better than the current one . __eou__ ooh , that 'd be rad __eou__ __eot__ not about wait ? clear you have n't tri to read a site that 's just make slashdot ? __eou__ __eot__",( i think someon be go to make a joke about .au bandwidth ... ) __eou__ especi not if you re use screen ; ) __eou__,1
"ooo should be there and instal by default , yes __eou__ use unknown in case where a bug compon doe n't exist __eou__ uh ? everi british keyboard i ve use be pc105 __eou__ __eot__ for me , orinoco_c be load my the pcmcia layer __eou__ __eot__ oh , you mean all of this be just plugdev ? __eou__ __eot__ the plugdev group and all admin tool expect sudo to work be the first two major issu i can see __eou__ __eot__ sourc the bash complet script slow down start a shell by a good second for me : ( __eou__ __eot__ there be that : / __eou__ __eot__ interest , though , ntpdate run befor pcmcia __eou__ __eot__ urgh : ) __eou__ __eot__ oh , this be the `` we must instal exact the same set of packag on everi system ! '' thing __eou__ i keep mean to jump up and down on mdz and jdub 's head until they relent in the case of pcmcia-c : ) __eou__ __eot__",unrar ' __eou__ `apt-cach show unrar` __eou__,0
"edd will turn up here soon too , btw __eou__ __eot__ should we renam this chan # gnome-hack ? : ) __eou__ around ? __eou__ what 's go on about desktop file ? __eou__ around ? __eou__ direct ? __eou__ __eot__ ross be here __eou__ __eot__","you need to go out of the sleepi mode dude __eou__ gnomedb should be 1.1.x sinc it 's a gnome part , right ? __eou__",1
"the x keyboard layout debconf thing should give gb as an exampl for england as i can never rememb what the code be __eou__ __eot__ that 's go to die muahahahahahahahahahahahahaha ! *cough*splutter* __eou__ __eot__ so , what be hct ? __eou__ __eot__ the hypothet changeset tool ; i ll explain it after lunch if you want __eou__ __eot__ and this be whi i turn on skip break __eou__ __eot__",just rm __eou__ no __eou__,0
"and becaus python give mark a woodi __eou__ __eot__ i think it give him a warti __eou__ __eot__ watch out , it probabl make all your file writabl or someth __eou__ warti base ... have that not be set with prioriti ? __eou__ __eot__ debootstrap __eou__ do you think we need acpi fan modul support in d-i ? __eou__ certain some ncipher peopl be a bite worri about the whole thing ... __eou__ __eot__ yeah , we ve be make far too mani `` featur '' chang too close to the releas __eou__ __eot__ aiui we ve fix the realli break bite __eou__ __eot__ they end up get *used* for thing __eou__ __eot__ whoa , that 's a stupid idea __eou__ __eot__ huh ? it use it by default ? __eou__ __eot__",you on wireless ? .. __eou__,0
"thank a lot ! __eou__ __eot__ you re welcom __eou__ __eot__ hm , i 'm still see the gnome `` /dev/pmu permiss '' thing , be n't it suppos to be fix a while back ? __eou__ __eot__ no , the bug 's still open i 'm afraid __eou__ __eot__ ah , dang __eou__ oooh __eou__ __eot__ it 's not just lock , visudo valid the file __eou__ chang the gnome-sess splash screen be tedious hard __eou__ noth that involv gconf-editor can possibl be describ as easi __eou__ __eot__",be you forget the . ? ? __eou__,0
"do you know about this problem ? __eou__ __eot__ no __eou__ __eot__ we should have a http entri in the defaut sources.list ? __eou__ trashapplet doe n't work at all for you ? __eou__ could you add ~/document and ~/.trash to the default skel ? __eou__ __eot__ be we go to merg gdm 2.6.0.4-1 from debian ? __eou__ i need some of the adjust it make to lang handl __eou__ ( i 'm happi to merg just that one chang though , and can do that now ) __eou__ __eot__ hum __eou__ the debian d-i busi card ( rc1 ) for ppc be know to have some problem in the base packag ? __eou__ oup : p __eou__ __eot__ what 's your failur ? __eou__ scroll up __eou__ there 's anoth approach __eou__ after `` load instal compon from cd '' and befor the base instal , edit /var/lib/dpkg/info/base-installer.postinst __eou__ look for `` linux-imag '' , and you ll find two line like this __eou__ chang them to this : __eou__ cron error from processal __eou__ ok , that 's now bug # 270528 ; # 270465 `` never exist '' . __eou__ __eot__ work daili ? : ) __eou__ __eot__ dunno yet __eou__ __eot__",unset languag & & lang=en_gb.utf-8 gnome-termin ? __eou__ languag be read befor lang iirc __eou__,1
"hum , just mail me if you want __eou__ i ll follow the mail on the intern list __eou__ yes __eou__ __eot__ gnome-settings-daemon be work ! __eou__ __eot__ kamion have fix it __eou__ __eot__ everyth still have .menu file , right ? so instal the menu packag and some hackeri can get the debian menu back ? __eou__ __eot__ no , we need a gnome-panel code chang for this __eou__ __eot__ ah , suck __eou__ __eot__ the issu be `` we should add .desktop file for the app which need it '' __eou__ __eot__ = all packag providng user-runn program ? __eou__ __eot__ that 's a sensibl question . we do n't want to reacreat the mess of the debian menu ... __eou__ so not easi to know which app have it place in the menu or not : ) __eou__ __eot__ hehe , right __eou__ can we just get debian to includ the desktop file and then get menu item for free in ubuntu ? __eou__ __eot__ that 's the plan __eou__ that 's not a bug , new gnomevf conflict with old panel __eou__ __eot__",hm __eou__,1
"? __eou__ in fact jdub say him that today be a good day to come __eou__ __eot__ k __eou__ the entir menu ? nice : d __eou__ __eot__ that 's a sub-menu of applic dude : ) __eou__ __eot__ heh , if i do n't have enough with gtk and nautilus for `` big upload i need to do '' , i just do abiword to complet the set : ) __eou__ yeah , still : ) __eou__ __eot__ yes , i ve see that __eou__ but i ve not see the nautilus one __eou__ do you need some help for the upload ? __eou__ __eot__ i guess i can manag , but if i have n't do them by tomorrow at 17:00 i guess you could do one of gtk or nautilus __eou__ __eot__ ok , just let me know __eou__ __eot__ what 's wrong with the suspend bite ? __eou__ __eot__ what ? __eou__ do you know how to appli a patch to openoffic packag in a proper way ? : ) __eou__ __eot__ i 'm leav this stupid place in 1 minut __eou__ or # debian-oo __eou__ __eot__",ok __eou__ we do n't have ani gnome soft good for this __eou__,1
